Row #	Gene	Transcripts	OMIM phenotype ID	Disorder group	Inheritance mode (AR/AR-AD)
1	AAAS	ENST00000209873, ENST00000394384, ENST00000550286	231550	ID	AR
2	AARS	ENST00000261772	616339	ID	AR
3	AARS2	ENST00000244571	614096	Metabolic	AR
4	AASS	ENST00000393376, ENST00000417368	268700;238700	Metabolic-ID	AR
5	ABAT	ENST00000268251, ENST00000396600, ENST00000567812, ENST00000425191, ENST00000569156	613163	Metabolic-ID	AR
6	ABCA1	ENST00000423487, ENST00000374733, ENST00000374736, ENST00000272895	604091	Metabolic	AR
7	ABCA12	ENST00000389661, ENST00000412081	242500	Dermatologic	AR
8	АВСАЗ	ENST00000301732, ENST00000382381, ENST00000567910	610921		AR
9	ABCA4	ENST00000536513, ENST00000370225	604116	Blindness	AR
10	ABCB11	ENST00000263817	605479	Metabolic	AR
11	ABCB4	ENST00000359206, ENST00000358400, ENST00000265723, ENST00000453593	614972	Metabolic	AR-AD
12	ABCC2	ENST00000370449, ENST00000370434, ENST00000205557	237500	Metabolic	AR
13	ABCC6	ENST00000640696, ENST00000622290, ENST00000575728	614473	Multi-system	AR-AD
14	ABCC8	ENST00000389817, ENST00000302539, ENST00000612903	125853	Metabolic-ID	AR-AD
15	ABCD4	ENST00000356924, ENST00000557588	614857	Metabolic-ID	AR
16	ABCG5	ENST00000260645, ENST00000405322	210250	Metabolic	AR
17	ABCG8	ENST00000272286	611465	Metabolic	AR
18	ABHD12	ENST00000376542, ENST00000339157	612674	Metabolic	AR
19	ABHD5	ENST00000458276, ENST00000616317, ENST00000612895	275630	Metabolic-ID	AR
20	ACACA	ENST00000614428, ENST00000617649, ENST00000614438	613933	Metabolic	AR
21	ACAD8	ENST00000281182, ENST00000374752	611283	Metabolic	AR-AD
22	ACAD9	ENST00000308982	611126	Metabolic-ID	AR
23	ACADM	ENST00000541113, ENST00000370841, ENST00000370834, ENST00000420607	201450	Metabolic	AR
24	ACADS	ENST00000242592, ENST00000411593	201470	Metabolic-ID	AR
25	ACADSB	ENST00000368869, ENST00000358776	610006	Metabolic	AR
26	ACADVL	ENST00000543245, ENST00000356839, ENST00000350303	201475	Metabolic	AR
27	ACAT1	ENST00000265838, ENST00000299355	203750	Metabolic-ID	AR
28	ACE	ENST00000428043, ENST00000290866, ENST00000290863, ENST00000413513	267430	Multi-system	AR
29	ACO2	ENST00000216254, ENST00000396512	614559	Metabolic-ID	AR
30	ACOX1	ENST00000293217, ENST00000301608	264470	Metabolic-ID	AR
31	ACOX2	ENST00000459701, ENST00000302819, ENST00000218758, ENST00000412435	617308	Metabolic	AR
32	ACP5	ENST00000592828, ENST00000433365, ENST00000590420	607944	Multi-system	AR
33	ACSF3	ENST00000317447, ENST00000614302, ENST00000406948, ENST00000378345	614265	Metabolic-ID	AR-AD
34	ACTA1	ENST00000366684, ENST00000366683, ENST00000636358, ENST00000476351	161800	Neuromuscular	AR-AD
35	ACY1	ENST00000476854, ENST00000494103, ENST00000404366, ENST00000635797	609924	Metabolic-ID	AR
36	ADA	ENST00000372874, ENST00000537820	102700	Metabolic-ID	AR
37	ADA2	ENST00000399837, ENST00000610390, ENST00000449907, ENST00000399839, ENST00000330232, ENST00000262607	615688	Multi-system	AR
38	ADAM9	ENST00000487273, ENST00000466936, ENST00000481513	612775	Blindness	AR-AD
39	ADAMTS10	ENST00000595838, ENST00000270328, ENST00000597188	277600	Metabolic	AR
40	ADAMTS13	ENST00000371929, ENST00000371916, ENST00000355699, ENST00000356589, ENST00000371911, ENST00000371910	274150	Multi-system	AR
41	ADAMTS17	ENST00000268070	613195	Multi-system	AR
42	ADAMTS18	ENST00000282849	608454	Blindness	AR
43	ADAMTS2	ENST00000251582, ENST00000274609, ENST00000354484	225410	Dermatologic	AR
44	ADAMTSL2	ENST00000393061, ENST00000393060	231050	Multi-system	AR
45	ADAMTSL4	ENST00000271643, ENST00000369039, ENST00000369041, ENST00000369038	225100	Multi-system	AR
46	ADAR	ENST00000368474, ENST00000368471	615010	ID	AR-AD
47	ADAT3	ENST00000329478	615286	ID	AR
48	ADD3	ENST00000360162, ENST00000356080, ENST00000277900, ENST00000568908, ENST00000568909, ENST00000567835	617008	ID	AR
49	ADGRG1	ENST00000562631, ENST00000456916, ENST00000388813, ENST00000562558, ENST00000540164, ENST00000230173	606854	ID	AR
50	ADGRG6	ENST00000367608, ENST00000296932, ENST00000367609	616503	Neuromuscular	AR
51	ADK	ENST00000539909, ENST00000286621, ENST00000541550, ENST00000372734	614300	Metabolic-ID	AR
52	ADSL	ENST00000623063, ENST00000636714, ENST00000342312, ENST00000216194	103050	Metabolic-ID	AR
53	ADSSL1	ENST00000330877, ENST00000332972, ENST00000556623, ENST00000555674	617030	Neuromuscular	AR
54	ΑΕΒΡ1	ENST00000223357, ENST00000450684	618000	Multi-system	AR
55	AFG3L2	ENST00000269143	614487	Metabolic-ID	AR-AD
56	AGA	ENST00000264595	208400	Metabolic-ID	AR
57	AGBL5	ENST00000323064, ENST00000360131	617023	Blindness	AR
58	AGK	ENST00000355413, ENST00000629555, ENST00000473247, ENST00000492693	614691	Metabolic	AR
59	AGL	ENST00000361915, ENST00000294724, ENST00000370163, ENST00000370165, ENST00000370161	232400	Metabolic	AR
60	AGPAT2	ENST00000371694, ENST00000371696, ENST00000538402	608594	Metabolic	AR
61	AGPS	ENST00000264167, ENST00000409888	600121	Metabolic	AR
62	AGRN	ENST00000379370, ENST00000620552	254300	Neuromuscular	AR
63	AGT	ENST00000366667, ENST00000497524, ENST00000349243	267430	Cilia+Kidney	AR
64	AGTR1	ENST00000404754, ENST00000474935, ENST00000475347, ENST00000461609, ENST00000418473, ENST00000402260	145500	Multi-system	AR
65	AGXT	ENST00000307503	259900	Metabolic	AR
66	AHCY	ENST00000538132, ENST00000217426, ENST00000367800, ENST00000457866, ENST00000265602	613752	Metabolic-ID	AR
67	AHI1	ENST00000327035, ENST00000488690, ENST00000528103, ENST00000534469	608629	ID	AR
68	AICDA	ENST00000229335, ENST00000537228	605258	Immune system	AR
69	AIMP1	ENST00000442366, ENST00000358008, ENST00000394701	260600	ID	AR
70	AIMP2	ENST00000223029, ENST00000400479, ENST00000395236, ENST00000381129, ENST00000250087, ENST00000574506	618006	ID	AR
71	AIPL1	ENST00000575265, ENST00000570466, ENST00000576776, ENST00000576307, ENST00000571740	604393	Blindness	AR
72	AIRE	ENST00000291582, ENST00000373176	240300	Multi-system	AR-AD
73	AK1	ENST00000373156, ENST00000223836	612631	Metabolic	AR
74	AK2	ENST00000629371, ENST00000373449, ENST00000548033, ENST00000467905, ENST00000480134, ENST00000354858, ENST00000487289, ENST00000626911	267500	Metabolic	AR
75	AKR1C2	ENST00000380753, ENST00000421196, ENST00000455190	614279	Endocrine	AR
76	AKR1D1	ENST00000432161, ENST00000411726, ENST00000242375	235555	Metabolic	AR
77	ALAD	ENST00000409155	612740	Metabolic	AR
78	ALB	ENST00000295897, ENST00000621628, ENST00000621085, ENST00000415165, ENST00000503124, ENST00000509063, ENST00000401494	616000	Metabolic	AR-AD
79	ALDH18A1	ENST00000371224, ENST00000371221	219150	Metabolic-ID	AR-AD
80	ALDH1A3	ENST00000329841, ENST00000346623, ENST00000557963, ENST00000626500, ENST00000631291	615113	Metabolic	AR
81	ALDH3A2	ENST00000176643, ENST00000581518, ENST00000395575, ENST00000339618, ENST00000579855, ENST00000630662, ENST00000571163	270200	Metabolic-ID	AR
82	ALDH4A1	ENST00000290597, ENST00000538839, ENST00000375341, ENST00000538309	239510	Metabolic-ID	AR
83	ALDH5A1	ENST00000357578, ENST00000491546, ENST00000348925	271980	Metabolic-ID	AR
84	ALDH6A1	ENST00000553458, ENST00000350259, ENST00000555126	614105	Metabolic	AR
85	ALDH7A1	ENST00000637782, ENST00000409134, ENST00000637206, ENST00000637272, ENST00000636886, ENST00000636879, ENST00000636743, ENST00000553117, ENST00000413020, ENST00000338110, ENST00000627059, ENST00000395248, ENST00000566897, ENST00000636698	266100	Metabolic-ID	AR
86	ALDOA	ENST00000569545, ENST00000563060, ENST00000412304, ENST00000564546, ENST00000564595, ENST00000569798, ENST00000395240	611881	Metabolic	AR
87	ALDOB	ENST00000374855, ENST00000616752	229600	Metabolic	AR
88	ALG1	ENST00000588623, ENST00000262374, ENST00000544428	608540	Metabolic-ID	AR
89	ALG11	ENST00000523764, ENST00000616513, ENST00000521508	613661	Metabolic-ID	AR
90	ALG12	ENST00000330817	607143	Metabolic-ID	AR
91	ALG2	ENST00000476832, ENST00000319033, ENST00000397676	607906	Metabolic-ID	AR
92	ALG3	ENST00000445626, ENST00000455059	601110	Metabolic-ID	AR
93	ALG6	ENST00000371108, ENST00000263440	603147	Metabolic-ID	AR
94	ALG8	ENST00000299626, ENST00000376156, ENST00000615266	608104	Metabolic-ID	AR-AD
95	ALG9	ENST00000614444, ENST00000531154, ENST00000398006, ENST00000616540	608776	Metabolic-ID	AR
96	ALMS1	ENST00000484298, ENST00000613296, ENST00000614410	203800	ID	AR
97	ALOX12B	ENST00000319144	242100	Metabolic	AR
98	ALOXE3	ENST00000380149, ENST00000448843, ENST00000318227	606545	Dermatologic	AR
99	ALPK3	ENST00000258888	618052		AR
100	ALPL	ENST00000374840, ENST00000539907, ENST00000540617, ENST00000374832	146300	Metabolic	AR-AD
101	ALS2	ENST00000264276, ENST00000467448	205100	Neuromuscular	AR
102	ALX3	ENST00000369792	136760	Skeletal	AR
103	ALX4	ENST00000329255, ENST00000335606, ENST00000382072	613451	ID	AR-AD
104	AMACR	ENST00000382085, ENST00000502637, ENST00000426255, ENST00000512079, ENST00000382068	614307	Metabolic	AR
105	AMBN	ENST00000322937, ENST00000613447, ENST00000449493	616270	Skeletal	AR
106	AMN	ENST00000299155	261100	Metabolic	AR
107	AMPD1	ENST00000520113, ENST00000369538	615511	Metabolic	AR
108	AMPD2	ENST00000342115, ENST00000528667, ENST00000256578, ENST00000358729, ENST00000528454, ENST00000393688	615809	ID	AR
109	AMT	ENST00000273588, ENST00000636199, ENST00000395338, ENST00000458307, ENST00000538581, ENST00000637682, ENST00000636597, ENST00000636865, ENST00000635808, ENST00000427987, ENST00000638063, ENST00000636522	605899	Metabolic-ID	AR
110	ANGPTL3	ENST00000371129	605019	Metabolic	AR
111	ANKLE2	ENST00000357997, ENST00000542282, ENST00000542657	616681	ID	AR
112	ANKS6	ENST00000375019, ENST00000353234	615382	Cilia+Kidney	AR
113	ΑΝΟ10	ENST00000292246, ENST00000350459, ENST00000396091, ENST00000414522, ENST00000451430	613728	Metabolic-ID	AR
114	ANO5	ENST00000324559	611307	Multi-system	AR-AD
115	ANO6	ENST00000425752, ENST00000423947, ENST00000320560, ENST00000441606	262890	Hematologic	AR
116	ANTXR1	ENST00000303714, ENST00000409829, ENST00000409349	230740	ID	AR
117	ANTXR2	ENST00000403729, ENST00000404191, ENST00000346652, ENST00000307333	228600	Dermatologic	AR
118	AP1S1	ENST00000337619	609313	Metabolic-ID	AR
119	AP3B1	ENST00000255194, ENST00000519295	608233	ID	AR
120	AP3B2	ENST00000261722, ENST00000620652, ENST00000535348, ENST00000535359, ENST00000542200	617276	ID	AR
121	AP4B1	ENST00000369567, ENST00000369569, ENST00000256658	614066	ID	AR
122	AP4E1	ENST00000261842, ENST00000560508	613744	ID	AR-AD
123	AP4M1	ENST00000429084, ENST00000359593, ENST00000421755, ENST00000422582	612936	ID	AR
124	AP4S1	ENST00000622409, ENST00000542754, ENST00000313566, ENST00000216366, ENST00000334725, ENST00000554609, ENST00000554345, ENST00000616371	614067	ID	AR
125	AP5Z1	ENST00000348624	613647	Neuromuscular	AR
126	APC2	ENST00000233607, ENST00000535453	617169	ID	AR
127	APOB	ENST00000233242, ENST00000399256, ENST00000252490, ENST00000592257	615558		AR-AD
128	APOC2	ENST00000591597, ENST00000590360, ENST00000585786	207750	Metabolic	AR
129	APOE	ENST00000252486	269600	Metabolic	AR-AD
130	APOPT1	ENST00000409074, ENST00000556253, ENST00000492189, ENST00000477116, ENST00000473127, ENST00000476323	220110	Metabolic-ID	AR
131	APRT	ENST00000378364, ENST00000426324, ENST00000563655, ENST00000379825, ENST00000436040	614723	Metabolic	AR
132	APTX	ENST00000309615, ENST00000397172, ENST00000379817, ENST00000379819, ENST00000468275, ENST00000463596, ENST00000476858, ENST00000379813	208920	Metabolic-ID	AR
133	AQP2	ENST00000199280	125800	Cilia+Kidney	AR-AD
134	ARFGEF2	ENST00000371917	608097	ID	AR
135	ARG1	ENST00000368087, ENST00000356962, ENST00000640973, ENST00000269321, ENST00000400721	207800	Metabolic-ID	AR
136	ARHGDIA	ENST00000584461, ENST00000541078, ENST00000580685, ENST00000581876	615244	Cilia+Kidney	AR
137	ARHGEF18	ENST00000319670, ENST00000359920, ENST00000535334	617433	Blindness	AR
138	ARL13B	ENST00000303097, ENST00000394222, ENST00000471138	612291	ID	AR
139	ARL2BP	ENST00000219204, ENST00000562023	615434	Blindness	AR
140	ARL6	ENST00000463745, ENST00000335979, ENST00000394206	600151	ID	AR
141	ARMC4	ENST00000305242	615451	Cilia+Kidney	AR
142	ARMC9	ENST00000349938, ENST00000614261, ENST00000611582	617622	ID	AR
143	ARSA	ENST00000356098, ENST00000216124, ENST00000395621, ENST00000453344, ENST00000395619	250100	Metabolic-ID	AR
144	ARSB	ENST00000264914, ENST00000396151, ENST00000565165	253200	Metabolic	AR
145	ARV1	ENST00000310256, ENST00000366658	617020	ID	AR
146	ASAH1	ENST00000637790, ENST00000262097, ENST00000520781, ENST00000381733, ENST00000637991, ENST00000636691, ENST00000637528, ENST00000637922, ENST00000636171, ENST00000636577, ENST00000637636, ENST00000636128, ENST00000636997, ENST00000636455, ENST00000314146, ENST00000637638, ENST00000637561, ENST00000636537, ENST00000637872, ENST00000636269	228000	Metabolic-ID	AR
147	ASCC1	ENST00000394919, ENST00000342444, ENST00000317168, ENST00000317126, ENST00000394915	616867	Neuromuscular	AR
148	ASL	ENST00000304874, ENST00000380839, ENST00000395332, ENST00000395331, ENST00000175506	207900	Metabolic-ID	AR
149	ASNS	ENST00000394309, ENST00000437628, ENST00000394308, ENST00000422745, ENST00000455086, ENST00000444334	615574	ID	AR
150	ASPA	ENST00000456349, ENST00000263080	271900	Metabolic-ID	AR
